         17512671 function calls (17373053 primitive calls) in 103.279 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      667    0.011    0.000    0.350    0.001 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backend_bases.py:1520(__init__)
  406/342    0.006    0.000    0.336    0.001 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:68(__init__)
       32    0.001    0.000    0.315    0.010 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:1125(draw)
    90827    0.140    0.000    0.311    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/linalg/linalg.py:179(_fastCopyAndTranspose)
    91068    0.302    0.000    0.303    0.000 {built-in method _warnings.warn}
      667    0.002    0.000    0.300    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backend_bases.py:1536(<listcomp>)
     1152    0.003    0.000    0.298    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axes/_base.py:2019(in_axes)
     1152    0.007    0.000    0.295    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/patches.py:140(contains)
   182674    0.129    0.000    0.271    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/linalg/linalg.py:105(_makearray)
        8    0.000    0.000    0.268    0.034 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/figure.py:979(add_subplot)
        8    0.000    0.000    0.267    0.033 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axes/_subplots.py:23(__init__)
        8    0.000    0.000    0.266    0.033 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axes/_base.py:420(__init__)
      120    0.003    0.000    0.246    0.002 /Users/hjfreyer/src/RJMCMC/pipeline.py:808(_PrepWaveform)
    25440    0.061    0.000    0.243    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/fft/helper.py:257(put_twiddle_factors)
    44526    0.152    0.000    0.230    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/lib/twodim_base.py:140(eye)
       96    0.001    0.000    0.224    0.002 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:742(cla)
   128/96    0.002    0.000    0.209    0.002 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:780(reset_ticks)
        6    0.000    0.000    0.203    0.034 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/pyplot.py:967(subplot)
        5    0.000    0.000    0.196    0.039 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/pyplot.py:422(figure)
        5    0.000    0.000    0.196    0.039 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backend_bases.py:163(new_figure_manager)
        5    0.000    0.000    0.195    0.039 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backends/backend_tkagg.py:1043(new_figure_manager_given_figure)
      480    0.029    0.000    0.194    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/scipy/signal/signaltools.py:2446(detrend)
     1235    0.024    0.000    0.181    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/lines.py:295(__init__)
     1446    0.004    0.000    0.181    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/patches.py:186(get_transform)
   257001    0.072    0.000    0.176    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/numeric.py:424(asarray)
   380612    0.110    0.000    0.173    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/linalg/linalg.py:110(isComplexType)
  211/179    0.001    0.000    0.172    0.001 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:2092(_get_tick)
